CharityID,imgid,CampaignID,Name,active_status,KeyWords,charity_type,hari_description,description,LinktoPayment,Cause,web_link,region,Inception_Date,Sub_causes,tgt_beneficiaries,region_cntry,region_st,region_cty,smedia_acct,insta_link,insta_stats,twitter_link,twitter_stats,fb_link,fb_stats,relief_type,impact_per_1K,entity_provided,cost_per_entity,collective_impact,no_donors,amnt_collected,info_last_updated,Key words,Key words.1
11,8,8,Give India,A,"Medical-supply, Oxygen,Migrant-Workers",Fundraiser,"GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. It runs fundraisers, including for COVID-related healthcare infrastructure.","GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India. The record increase of COVID positive patients and fatalities per day, lack of life-saving equipment like oxygen cylinders and concentrators, ventilators and Bipaps is crippling our healthcare infrastructure.",https://fundraisers.giveindia.org/donate/LC60c4bcc10d31b,1,https://covid.giveindia.org/oxygen/,1,22 years,Oxygen,,,,"Delhi, Mumbai, Patna",Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Oxygen,,"oxygen_concentrator_machine, oxygen_cylinders","55,000-60,000 15,000",,49738,"44,24,85,586",11th July 2021,,
12,8,8,Give India,A,"Medical-supply, Oxygen,Migrant-Workers",Fundraiser,"GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. It runs fundraisers, including for COVID-related healthcare infrastructure.","GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India. The record increase of COVID positive patients and fatalities per day, lack of life-saving equipment like oxygen cylinders and concentrators, ventilators and Bipaps is crippling our healthcare infrastructure.",https://fundraisers.giveindia.org/donate/LC60c4bcc10d31b,1,https://covid.giveindia.org/oxygen/,2,22 years,Oxygen,,,,"Delhi, Mumbai, Patna",Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Oxygen,,"oxygen_concentrator_machine, oxygen_cylinders","55,000-60,000 15,000",,49738,"44,24,85,586",11th July 2021,,
13,8,9,Give India,A,"Maharashtra,West-Bengal, Poor,cooked_meal",Fundraiser,GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. This fundraiser aims to provide meal kits to hungry families affected by COVID.,"GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India. Each meal will be a nutritional platter comprisinghealthy staples like rice, daal,vegetables, chapati and more. Rationskits will contain daal, rice, salt, oil, atta,masala, tea, sugar etc.Donate now to help hungry familiessurvive the pandemic.",https://fundraisers.giveindia.org/donate/LC60c4bc37b2c7a,0,https://covid.giveindia.org/food/,1,22 years,,poor families,,"Maharashtra, West Bengal, Delhi NCR",,Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Meal,,cooked_meal,1750500,,16107,"11,04,68,706",11th July 2021,,
14,8,9,Give India,A,"Maharashtra,West-Bengal, Poor,cooked_meal",Fundraiser,GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. This fundraiser aims to provide meal kits to hungry families affected by COVID.,"GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India. Each meal will be a nutritional platter comprisinghealthy staples like rice, daal,vegetables, chapati and more. Rationskits will contain daal, rice, salt, oil, atta,masala, tea, sugar etc.Donate now to help hungry familiessurvive the pandemic.",https://fundraisers.giveindia.org/donate/LC60c4bc37b2c7a,0,https://covid.giveindia.org/food/,2,22 years,,poor families,,"Maharashtra, West Bengal, Delhi NCR",,Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Meal,,cooked_meal,1750500,,16107,"11,04,68,706",11th July 2021,,
15,8,10,Give India,A,"Mumbai, Delhi,care_center,Covid-Patients",Fundraiser,"GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. It runs fundraisers, including for COVID-related healthcare infrastructure.",GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bce01a941,1,https://covid.giveindia.org/treatmentcentres/,1,22 years,COVID Care Center,COVID patients,,,"Mumbai, Delhi, Bangalore, Chattisgarh",Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Covid Care,,"care_center, oxygen_cylinders, oxygen_concentrator_machine",,,5702,"4,16,26,210",11th July 2021,,
16,8,10,Give India,A,"Mumbai, Delhi,care_center,Covid-Patients",Fundraiser,"GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. It runs fundraisers, including for COVID-related healthcare infrastructure.",GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bce01a941,1,https://covid.giveindia.org/treatmentcentres/,2,22 years,COVID Care Center,COVID patients,,,"Mumbai, Delhi, Bangalore, Chattisgarh",Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Covid Care,,"care_center, oxygen_cylinders, oxygen_concentrator_machine",,,5702,"4,16,26,210",11th July 2021,,
17,8,10,Give India,A,"Mumbai, Delhi,care_center,Covid-Patients",Fundraiser,"GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. It runs fundraisers, including for COVID-related healthcare infrastructure.",GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bce01a941,1,https://covid.giveindia.org/treatmentcentres/,0,22 years,COVID Care Center,COVID patients,,,"Mumbai, Delhi, Bangalore, Chattisgarh",Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Covid Care,,"care_center, oxygen_cylinders, oxygen_concentrator_machine",,,5702,"4,16,26,210",11th July 2021,,
18,8,11,Give India,A,"Direct-Transfer, Cash-Relief, Family-of-deceased",fundraiser,GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. This fundraiser aims to provide direct cash transfers to families affected by COVID.,GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bcfed0057,2,https://covid.giveindia.org/cashrelief/,1,22 years,help overcome their losses,families who lost members to covid,,Direct bank transfer to families of the deceased,,Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Cash,,cash,,,5024,"4,40,62,829",11th July 2021,,
19,8,11,Give India,A,"Direct-Transfer, Cash-Relief, Family-of-deceased",fundraiser,GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. This fundraiser aims to provide direct cash transfers to families affected by COVID.,GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bcfed0057,2,https://covid.giveindia.org/cashrelief/,2,22 years,help overcome their losses,families who lost members to covid,,Direct bank transfer to families of the deceased,,Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Cash,,cash,,,5024,"4,40,62,829",11th July 2021,,
20,8,11,Give India,A,"Direct-Transfer, Cash-Relief, Family-of-deceased",fundraiser,GiveIndia is a non-profit online donation platform and aims to channel resources to credible non-governmental organizations across India. This fundraiser aims to provide direct cash transfers to families affected by COVID.,GiveIndia is a non profitorganisation in India. It is anonline donation platform and aims to channel and provide resources to credible non-governmental organisations across India.,https://fundraisers.giveindia.org/donate/LC60c4bcfed0057,2,https://covid.giveindia.org/cashrelief/,0,22 years,help overcome their losses,families who lost members to covid,,Direct bank transfer to families of the deceased,,Y,https://www.instagram.com/give_india/?hl=en,77.6k|1099,https://twitter.com/GiveIndia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,577.4k|8278,,,Cash,,cash,,,5024,"4,40,62,829",11th July 2021,,
21,9,12,Yein Udaan,A,"Chennai,grocery_kit,Poor,Under-Educated",Org-Fundraiser,Yein Udaan focuses on equipping children from underprivileged communities with the tools and skills they need for their holistic development. It also works with parents to ensure they are involved in their children's growth. ,"At Yein Udaan, we focus on equipping children from underprivileged communities with the tools and skills they need for their holistic development. We also work with the parents to ensure they are involved in their children's growth. We created ""comunity centers"" to be platforms for residents to learn without judgement, irrespective of age, gender or occupation.",https://www.instamojo.com/@yeinudaan/lc95f06b5f52e40a9ac878ce251832c0b/,0,http://yeinudaan.org/covid-19/,0,4 years,,"poor, under educated families",,Chennai,"Communities in villages around Chennai. Aminijikarai, Chetpet, Choolaimedu, Chromepet, George town, Kannagi Nagar, Mylapore, Perambur, Pudupet, Pulianthope, Red Hills, Semmenchery, Tondiarpet",Y,https://www.instagram.com/yeinudaan/?hl=en,900|352,https://twitter.com/yeinudaan?lang=en,41| 172,https://www.facebook.com/yeinudaan/,553|~300,Meal,,grocery_kit,,1924 ggrocery kit,,,June 2021,,
22,10,13,India need o2 now!,A,"Bangalore, Ranchi,oxygen_concentrator_machine,Poor, Under-Educated",Org-Fundraiser,The organization focuses on covid related oxygen infrastructure. The goal is to equip smaller towns and cities in India to effectively deal with the current and next wave of the COVID-19 crisis.,Our goal is to equip smaller towns and cities in India to deal with the current and upcoming COVID-19 crisis.,https://www.paypal.com/donate?token=-a28FAS0loaxCXBCI2_rzDP_d9BlvbskUZSqt8NS1V1iAID2ghqX7ycQ0GXj1Gw77Rs-WHTDZ7a2msVd,1,https://indiao2.org,0,1 year,Oxygen,citizens of smaller towns and cities.,,,"Bangalore, Ranchi, Purulia, Kolkata, Godda, Hazaribagh, Aligarh, Jaipur, Jodhpur, Thanesar, Bokaro",Y,https://www.instagram.com/indiao2org/,52|12,,,,,Oxygen,,oxygen_concentrator_machine,55'000-60'000,200 oxygen donated,1250+,"10,606,322",May 2021,,
23,10,13,India need o2 now!,A,"Bangalore, Ranchi,oxygen_concentrator_machine,Poor, Under-Educated",Org-Fundraiser,The organization focuses on covid related oxygen infrastructure. The goal is to equip smaller towns and cities in India to effectively deal with the current and next wave of the COVID-19 crisis.,Our goal is to equip smaller towns and cities in India to deal with the current and upcoming COVID-19 crisis.,https://www.paypal.com/donate?token=-a28FAS0loaxCXBCI2_rzDP_d9BlvbskUZSqt8NS1V1iAID2ghqX7ycQ0GXj1Gw77Rs-WHTDZ7a2msVd,1,https://indiao2.org,1,1 year,Oxygen,citizens of smaller towns and cities.,,,"Bangalore, Ranchi, Purulia, Kolkata, Godda, Hazaribagh, Aligarh, Jaipur, Jodhpur, Thanesar, Bokaro",Y,https://www.instagram.com/indiao2org/,52|12,,,,,Oxygen,,oxygen_concentrator_machine,55'000-60'000,200 oxygen donated,1250+,"10,606,322",May 2021,,
24,11,14,Swasth,A,"Nagaland, oxygen_concentrator_machine,Healthcare-insitution,oxygen_concentrator_machine",Foundation,The organization focuses on covid related oxygen infrastructure. Its mission is to provide universal and affordable healthcare.,Swasth is a purely non-commercial project formed with the objective of providing universal & affordable healthcare fir the people of India.,"https://www.impactguru.com/fundraiser/oxygen ,https://milaap.org/fundraisers/Donate-for-Oxygen ",1,https://www.swasth.app/oxygenforeveryone,1,12 years,Oxygen,Healthcare institutions in need,,Nagaland,,Y,,1305|54,https://twitter.com/swasthorg,2013|285,https://www.facebook.com/swasthorg/photos/?ref=page_internal,993|~200,Oxygen,,oxygen_concentrator_machine,55'000-60'000,16000+,,50 Cr+,13th July 2021,,
25,12,15,Roti Bank,A,"Maharashtra,Cooked-Meaf,Children,Under-privileged",Foundation,Mumbai Roti Bank is a non-profit food rescue organization that bridges the gap between hunger and excess food.,"Mumbai Roti Bank is a non-profit, food rescue organisation that bridges the gap between hunger and excess food.",https://rotibankfoundation.org/donations/,0,https://rotibankfoundation.org,2,4 years,,Children and under previliged,,Maharashtra,Mumbai,Y,https://www.instagram.com/rotibankfdn/,2190|163,https://twitter.com/rotibankfdn,1067|34,https://www.facebook.com/rotibankfdn,1176|~100,Meal,,cooked_meal,,"Overall 3,000,0001,800,000 meals served to children",,,May 2021,,
26,13,16,Feeding India by Zomato,A,"Mumbai, Delhi, cooked_meal, Covid-patients",Foundation,Feeding India by Zomato provides an infrastructure for compassionate citizens to begin and manage initiatives that address local hunger concerns.,"Feeding India by Zomato provides the right channels for compassionate citizens to begin and manage initiatives, that solve for hunger locally.",https://www.feedingindia.org/donate/feedingindia#donate-section,0,https://www.feedingindia.org,2,7 years,,"Underserved communities, families affected by Covid ",,,"Mumbai, Delhi, Bangalore",Y,https://www.instagram.com/feedingindia/,43.7k|1255,https://twitter.com/FeedingIndia,7378|2806,https://www.facebook.com/feedingindia,112858| ~1000,Meal,,cooked_meal,10 rb,"4,56,666 meals served in the last 30 days",,,13th July 2021,,
